Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;10:00 - 10:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;10:00 - 10:30;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;10:30 - 11:00;Réserve primaire;A la hausse;0;70,3
06/12/2016;10:30 - 11:00;Réserve primaire;A la baisse;3;70,3
06/12/2016;10:30 - 11:00;Réserve secondaire;A la hausse;0;70,3
06/12/2016;10:30 - 11:00;Réserve secondaire;A la baisse;84;70,3
06/12/2016;10:30 - 11:00;Réserve rapide;A la hausse;0;0
06/12/2016;10:30 - 11:00;Réserve rapide;A la baisse;395;69,4
06/12/2016;10:30 - 11:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;10:30 - 11:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;11:00 - 11:30;Réserve primaire;A la hausse;2;69
06/12/2016;11:00 - 11:30;Réserve primaire;A la baisse;0;69
06/12/2016;11:00 - 11:30;Réserve secondaire;A la hausse;0;69
06/12/2016;11:00 - 11:30;Réserve secondaire;A la baisse;28;69
06/12/2016;11:00 - 11:30;Réserve rapide;A la hausse;0;0
06/12/2016;11:00 - 11:30;Réserve rapide;A la baisse;395;64,9
06/12/2016;11:00 - 11:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;11:00 - 11:30;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;11:30 - 12:00;Réserve primaire;A la hausse;0;69
06/12/2016;11:30 - 12:00;Réserve primaire;A la baisse;2;69
06/12/2016;11:30 - 12:00;Réserve secondaire;A la hausse;0;69
06/12/2016;11:30 - 12:00;Réserve secondaire;A la baisse;40;69
06/12/2016;11:30 - 12:00;Réserve rapide;A la hausse;0;0
06/12/2016;11:30 - 12:00;Réserve rapide;A la baisse;387;64,9
06/12/2016;11:30 - 12:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;11:30 - 12:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;12:00 - 12:30;Réserve primaire;A la hausse;0;65,6
06/12/2016;12:00 - 12:30;Réserve primaire;A la baisse;14;65,6
06/12/2016;12:00 - 12:30;Réserve secondaire;A la hausse;0;65,6
06/12/2016;12:00 - 12:30;Réserve secondaire;A la baisse;180;65,6
06/12/2016;12:00 - 12:30;Réserve rapide;A la hausse;0;0
